TimeStamp,Read,Write,Stripe
1,0,4096,1
2,832,0,1
3,0,2584192,1
4,0,20480,1
5,0,3712,1
6,832,0,1
7,0,4096,1
8,0,2927752,1
9,0,32768,1
10,0,23688,1
11,0,41782,1
12,832,0,1
13,0,2140992,1
14,0,4096,1
15,832,0,1
16,0,2109696,1
17,0,8192,1
18,832,0,1
19,0,4096,1
20,0,2128816,1
21,0,8192,1
22,832,0,1
23,0,2198192,1
24,0,8192,1
25,0,6832,1
26,832,0,1
27,0,2105600,1
28,0,8192,1
29,832,0,1
30,0,4096,1
31,0,2633912,1
32,0,8192,1
33,832,0,1
34,0,2132136,1
35,0,4096,1
36,832,0,1
37,0,2212848,1
38,0,8192,1
39,0,13296,1
40,832,0,1
41,0,4096,1
42,0,3750184,1
43,0,24576,1
44,0,14632,1
45,0,4096,1
46,0,4096,1
47,0,4096,1
48,0,4096,1
49,1024,0,1
50,0,4096,1
51,4096,0,1
52,4096,0,1
53,0,4096,1
54,4096,0,1
55,4096,0,1
56,0,4096,1
57,1024,0,1
58,1024,0,1
59,0,135168,1
60,0,135168,1
61,0,4096,1
62,8192,0,1
63,4096,0,1
64,8192,0,1
65,0,4198400,1
66,0,4096,1
67,0,4096,1
68,1024,0,1
69,1024,0,1
70,1024,0,1
71,1024,0,1
72,1024,0,1
73,1024,0,1
74,1024,0,1
75,1024,0,1
76,1024,0,1
77,1024,0,1
78,1024,0,1
79,1024,0,1
80,1024,0,1
81,1024,0,1
82,1024,0,1
83,1024,0,1
84,1024,0,1
85,1024,0,1
86,1024,0,1
87,1024,0,1
88,1024,0,1
89,1024,0,1
90,1024,0,1
91,1024,0,1
92,1024,0,1
93,1024,0,1
94,1024,0,1
95,1024,0,1
96,1024,0,1
97,1024,0,1
98,1024,0,1
99,1024,0,1
100,1024,0,1
101,1024,0,1
102,1024,0,1
103,1024,0,1
104,1024,0,1
105,832,0,1
106,0,2107544,1
107,0,4096,1
108,832,0,1
109,0,2106480,1
110,0,4096,1
111,832,0,1
112,0,2104008,1
113,0,4096,1
114,832,0,1
115,0,2100816,1
116,0,4096,1
117,832,0,1
118,0,2104784,1
119,0,4096,1
120,832,0,1
121,0,2120768,1
122,0,4096,1
123,832,0,1
124,0,2104408,1
125,0,4096,1
126,832,0,1
127,0,2103632,1
128,0,4096,1
129,832,0,1
130,0,2102256,1
131,0,4096,1
132,0,4096,1
133,1024,0,1
134,0,4096,1
135,1024,0,1
136,0,4096,1
137,4096,0,1
138,0,4096,1
139,4096,0,1
140,0,4096,1
141,1024,0,1
142,1024,0,1
143,1024,0,1
144,0,4096,1
145,4096,0,1
146,0,4096,1
147,4096,0,1
148,4096,0,1
149,0,4096,1
150,4096,0,1
151,4096,0,1
152,0,4096,1
153,4096,0,1
154,0,4096,1
155,4096,0,1
156,4096,0,1
157,0,4096,1
158,4096,0,1
159,4096,0,1
160,0,4096,1
161,4096,0,1
162,0,4096,1
163,4096,0,1
164,0,4096,1
165,4096,0,1
166,0,4096,1
167,1024,0,1
168,1024,0,1
169,1024,0,1
170,1024,0,1
171,1024,0,1
172,1024,0,1
173,1024,0,1
174,1024,0,1
175,1024,0,1
176,1024,0,1
177,1024,0,1
178,1024,0,1
179,1024,0,1
180,1024,0,1
181,1024,0,1
182,1024,0,1
183,1024,0,1
184,1024,0,1
185,1024,0,1
186,1024,0,1
187,1024,0,1
188,1024,0,1
189,1024,0,1
190,1024,0,1
191,1024,0,1
192,1024,0,1
193,1024,0,1
194,1024,0,1
195,1024,0,1
196,1024,0,1
197,1024,0,1
198,1024,0,1
199,1024,0,1
200,1024,0,1
201,1024,0,1
202,1024,0,1
203,0,4096,1
204,4096,0,1
205,0,4096,1
206,4096,0,1
207,0,4096,1
208,4096,0,1
209,0,4096,1
210,4096,0,1
211,0,4096,1
212,4096,0,1
213,0,4096,1
214,4096,0,1
215,0,4096,1
216,4096,0,1
217,0,4096,1
218,4096,0,1
219,0,4096,1
220,4096,0,1
221,0,4096,1
222,4096,0,1
223,0,4096,1
224,4096,0,1
